CRP-FILE ,CALID     ,Calibration Signature           ,Size ,Software                             ,Market (Addon)
H132E0009,H132E0009 ,T6A0B5E02       03-23-2011 16:25,18548,T6-V00A0  23/03/2011 Lotus Eng       ,ROW SVA
C132E0099,C132E0099 ,T6EGLALA1FS01   11-14-2012 16:30,25050,T6-V00AL 19/10/2012 Lotus Eng        ,FED
C132E0101,C132E0101 ,T6EGLALA1F01    11-15-2012 16:48,25050,T6-V00AL 19/10/2012 Lotus Eng        ,FED
G132E0075,G132E0075 ,T6EGLALA 11-14-2012 15:41       ,25050,T6-V00AL 19/10/2012 Lotus Eng        ,KOREA ROW
K132E0072,K132E0072 ,T6EGLALA1E01_11 11-14-2012 16:12,25050,T6-V00AL 19/10/2012 Lotus Eng        ,GCC KOREA ROW
C132E0130,C132E0130 ,C132E0130       04-29-2013 14:14,25050,T6-V00AY 26/04/2013 Lotus Eng        ,FED
C132E0132,C132E0132 ,C132E0132       04-29-2013 14:37,25050,T6-V00AY 26/04/2013 Lotus Eng        ,FED
B132E0143,B132E0143 ,B132E0143       09-02-2013 18:52,25050,T6-V00BF 27/08/2013 Lotus Eng        ,FED
B132E0145,B132E0145 ,B132E0145       09-04-2013 16:32,25050,T6-V00BF 27/08/2013 Lotus Eng        ,FED
E132E0092,E132E0092 ,E132E0092       09-02-2013 18:57,25050,T6-V00BF 27/08/2013 Lotus Eng        ,China GCC ROW
E132E0096,E132E0096 ,E132E0096       09-02-2013 18:55,25050,T6-V00BF 27/08/2013 Lotus Eng        ,China GCC ROW
E132E0143,E132E0143 ,E132E0143       05-07-2014 15:48,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
E132E0145,E132E0145 ,E132E0145       05-07-2014 14:19,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
F132E0099,F132E0099 ,F132E0099       05-07-2014 14:06,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
F132E0101,F132E0101 ,F132E0101       05-07-2014 15:40,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
F132E0130,F132E0130 ,F132E0130       05-07-2014 15:44,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
F132E0132,F132E0132 ,F132E0132       05-07-2014 14:15,25050,T6-V00BM 07/05/2014 Lotus Eng        ,FED
L132E0092,L132E0092 ,L132E0092       09-03-2014 11:33,25050,T6-V00BR 01/09/2014 Lotus Eng        ,China GCC ROW
L132E0096,L132E0096 ,L132E0096       09-03-2014 11:51,25050,T6-V00BR 01/09/2014 Lotus Eng        ,China GCC ROW
P132E0092,P132E0092 ,P132E0092       08-11-2016 18:47,25050,T6-V00BU 18/12/2014 Lotus Eng        ,China GCC ROW
B132E0091,B132E0091 ,B132E0091       03-09-2015 11:45,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
B132E0195,B132E0195 ,B132E0195       02-18-2015 14:10,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
B132E0197,B132E0197 ,B132E0197        03-06-2015 8:20,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
C132E0077,C132E0077 ,C132E0077       02-18-2015 13:43,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
E132E0079,E132E0079 ,E132E0079       03-16-2015 17:34,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
G132E0143,G132E0143 ,G132E0143        03-09-2015 8:38,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
G132E0145,G132E0145 ,G132E0145       02-18-2015 14:00,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
H132E0099,H132E0099 ,H132E0099       02-18-2015 13:54,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
H132E0101,H132E0101 ,H132E0101        03-09-2015 9:56,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
H132E0130,H132E0130 ,H132E0130        03-09-2015 8:47,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
H132E0132,H132E0132 ,H132E0132       02-18-2015 13:57,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED
D132E0044,D132E0044 ,D132E0044       03-09-2015 12:11,25050,T6-V00BU 18/12/2014 Lotus Eng        ,FED KOREA
L132E0072,L132E0072 ,L132E0072       03-09-2015 11:42,25050,T6-V00BU 18/12/2014 Lotus Eng        ,GCC KOREA ROW
B132E0090,B132E0090 ,B132E0090       03-09-2015 11:58,25050,T6-V00BU 18/12/2014 Lotus Eng        ,GCC ROW
J132E0009,J132E0009 ,J132E0009       03-09-2015 12:17,25050,T6-V00BU 18/12/2014 Lotus Eng        ,GCC ROW
H132E0075,H132E0075 ,H132E0075       02-18-2015 13:45,25050,T6-V00BU 18/12/2014 Lotus Eng        ,KOREA ROW
R132E0096,R132E0096 ,R132E0096       11-22-2016 12:32,25050,T6-V00BX 24/11/2016 Lotus Eng        ,China GCC ROW
B132E0077,B132E0077 ,T6EGLW001FS01   04-28-2011 12:18,25050,T6-V00W0 21/04/2011 Lotus Eng        ,FED
D132E0079,D132E0079 ,T6J0C3F02       03-15-2011 09:47,25050,T6-V0J0C  08/02/2011 Lotus Eng       ,FED
A132E0090,A132E0090 ,T6J0C4E03       03-23-2011 17:24,25050,T6-V0J0C  23/03/2011 Lotus Eng       ,GCC ROW
A132E0091,A132E0091 ,T6J0C4F03       03-23-2011 17:20,25050,T6-V0J0C  23/03/2011 Lotus Eng       ,FED
