Address,Text,Response,DataPos,DataSize,DataMask,isSigned,SimpleScale,TextUnit
22 04 2D,Overspeed Log 1 - Gear,62 04 2D,0,1,255,FALSE,1,
22 04 2E,Overspeed Log 2 - Gear,62 04 2E,0,1,255,FALSE,1,
22 04 2F,Overspeed Log 3 - Gear,62 04 2F,0,1,255,FALSE,1,
22 04 30,Overspeed Log 4 - Gear,62 04 30,0,1,255,FALSE,1,
22 04 31,Overspeed Log 5 - Gear,62 04 31,0,1,255,FALSE,1,
22 04 32,Overspeed Log 6 - Gear,62 04 32,0,1,255,FALSE,1,
22 04 33,Overspeed Log 7 - Gear,62 04 33,0,1,255,FALSE,1,
22 04 34,Overspeed Log 8 - Gear,62 04 34,0,1,255,FALSE,1,
22 04 35,Overspeed Log 9 - Gear,62 04 35,0,1,255,FALSE,1,
22 04 36,Overspeed Log 10 - Gear,62 04 36,0,1,255,FALSE,1,
22 04 37,Overspeed Log 1 - Timestamp,62 04 37,0,4,-1,FALSE,0.1,Seconds
22 04 38,Overspeed Log 2 - Timestamp,62 04 38,0,4,-1,FALSE,0.1,Seconds
22 04 39,Overspeed Log 3 - Timestamp,62 04 39,0,4,-1,FALSE,0.1,Seconds
22 04 3A,Overspeed Log 4 - Timestamp,62 04 3A,0,4,-1,FALSE,0.1,Seconds
22 04 3B,Overspeed Log 5 - Timestamp,62 04 3B,0,4,-1,FALSE,0.1,Seconds
22 04 3C,Overspeed Log 6 - Timestamp,62 04 3C,0,4,-1,FALSE,0.1,Seconds
22 04 3D,Overspeed Log 7 - Timestamp,62 04 3D,0,4,-1,FALSE,0.1,Seconds
22 04 3E,Overspeed Log 8 - Timestamp,62 04 3E,0,4,-1,FALSE,0.1,Seconds
22 04 3F,Overspeed Log 9 - Timestamp,62 04 3F,0,4,-1,FALSE,0.1,Seconds
22 04 40,Supported PIDs 441-460,62 04 40,0,4,-1,FALSE,1,
22 04 41,Overspeed Log 10 - Timestamp,62 04 41,0,4,-1,FALSE,0.1,Seconds
22 04 42,Oil Temp Peak Log 1 - Peak Oil Temperature,62 04 42,0,1,255,FALSE,1,degC
22 04 43,Oil Temp Peak Log 2 - Peak Oil Temperature,62 04 43,0,1,255,FALSE,1,degC
22 04 44,Oil Temp Peak Log 3 - Peak Oil Temperature,62 04 44,0,1,255,FALSE,1,degC
22 04 45,Oil Temp Peak Log 4 - Peak Oil Temperature,62 04 45,0,1,255,FALSE,1,degC
22 04 46,Oil Temp Peak Log 5 - Peak Oil Temperature,62 04 46,0,1,255,FALSE,1,degC
22 04 47,Oil Temp Peak Log 6 - Peak Oil Temperature,62 04 47,0,1,255,FALSE,1,degC
22 04 48,Oil Temp Peak Log 7 - Peak Oil Temperature,62 04 48,0,1,255,FALSE,1,degC
22 04 49,Oil Temp Peak Log 8 - Peak Oil Temperature,62 04 49,0,1,255,FALSE,1,degC
22 04 4A,Oil Temp Peak Log 9 - Peak Oil Temperature,62 04 4A,0,1,255,FALSE,1,degC
22 04 4B,Oil Temp Peak Log 10 - Peak Oil Temperature,62 04 4B,0,1,255,FALSE,1,degC
22 04 4C,Oil Temp Peak Log 1 - Vehicle Speed,62 04 4C,0,2,65535,FALSE,0.01,km/h
22 04 4D,Oil Temp Peak Log 2 - Vehicle Speed,62 04 4D,0,2,65535,FALSE,0.01,km/h
22 04 4E,Oil Temp Peak Log 3 - Vehicle Speed,62 04 4E,0,2,65535,FALSE,0.01,km/h
22 04 4F,Oil Temp Peak Log 4 - Vehicle Speed,62 04 4F,0,2,65535,FALSE,0.01,km/h
22 04 50,Oil Temp Peak Log 5 - Vehicle Speed,62 04 50,0,2,65535,FALSE,0.01,km/h
22 04 51,Oil Temp Peak Log 6 - Vehicle Speed,62 04 51,0,2,65535,FALSE,0.01,km/h
22 04 52,Oil Temp Peak Log 7 - Vehicle Speed,62 04 52,0,2,65535,FALSE,0.01,km/h
22 04 53,Oil Temp Peak Log 8 - Vehicle Speed,62 04 53,0,2,65535,FALSE,0.01,km/h
22 04 54,Oil Temp Peak Log 9 - Vehicle Speed,62 04 54,0,2,65535,FALSE,0.01,km/h
22 04 55,Oil Temp Peak Log 10 - Vehicle Speed,62 04 55,0,2,65535,FALSE,0.01,km/h
22 04 56,Adaptation Distance Accumulator,62 04 56,0,4,-1,FALSE,1,
